lines_of_code,cyclomatic_complexity,number_of_functions,number_of_parameters,nested_depth,if_statement_count,loop_count,imports_count,dependency_count,duplicate_code_score,exception_handling_count,database_queries,external_api_calls,cpu_usage,memory_usage,average_response_time,test_coverage,historical_bug_count,api_failure
880,24,43,49,6,1,13,27,3,0.655,4,21,10,89.52,643.0,433.24,65.2,11,0
3792,19,38,140,8,17,7,38,13,0.789,18,11,2,59.83,534.18,2712.55,20.23,17,1
3112,37,41,14,9,12,7,35,1,0.225,14,16,4,59.66,1549.01,3685.79,70.25,31,0
486,8,45,52,6,50,18,10,22,0.252,0,15,3,36.19,100.53,3583.09,65.98,41,0
4446,28,88,171,7,4,31,12,11,0.722,10,0,14,13.53,1500.44,2674.94,37.5,35,0
3464,5,40,7,5,19,30,10,9,0.187,17,6,4,43.01,1692.3,2468.76,28.44,18,0
3191,17,97,73,9,1,28,34,24,0.438,2,2,6,57.28,165.14,4848.02,91.91,3,0
2939,36,17,45,4,10,10,24,0,0.566,8,5,4,69.06,156.68,4104.59,12.7,10,0
150,19,88,68,10,29,12,28,18,0.218,3,20,13,78.65,607.5,3496.21,43.2,2,0
1705,64,57,113,11,31,26,22,22,0.751,12,2,14,25.06,451.95,984.11,76.7,26,1
789,11,2,146,6,31,18,45,15,0.533,8,21,13,23.67,1203.57,4100.66,14.81,46,1
2411,54,96,165,5,57,25,16,14,0.038,2,2,13,54.14,1393.71,3751.41,93.29,15,0
2453,45,62,122,1,49,36,13,13,0.109,15,7,7,54.21,1310.43,4960.21,52.63,43,0
1204,47,88,138,5,37,8,36,8,0.153,7,13,7,21.49,752.41,673.65,50.48,17,0
4575,12,9,116,5,54,27,36,28,0.196,6,22,2,56.22,1036.77,3579.32,42.43,29,0
3405,21,68,42,9,27,31,43,20,0.585,16,8,4,33.51,1322.22,4895.63,86.75,23,0
4137,11,81,19,1,9,2,23,22,0.071,15,4,11,61.1,272.76,2318.34,94.84,5,0
4863,5,17,147,5,21,31,14,14,0.28,17,14,3,28.36,494.7,3669.72,38.01,46,0
2924,56,50,20,7,54,4,32,25,0.729,15,16,13,56.68,1827.24,4877.1,54.24,33,1
494,20,94,81,11,16,7,3,6,0.445,14,9,13,73.22,722.13,2741.95,31.54,11,0
1102,41,40,56,6,21,13,27,3,0.212,1,7,4,93.13,1647.13,3498.22,36.8,41,0
2578,46,58,177,6,42,2,19,20,0.766,19,17,7,86.64,538.0,110.22,2.83,22,1
2067,12,75,73,7,18,23,22,17,0.195,3,5,3,48.33,115.95,2603.13,78.59,35,0
2767,70,85,97,6,16,12,1,7,0.724,4,16,4,46.9,1040.81,1286.44,96.93,39,0
995,17,21,153,5,23,28,5,11,0.581,6,21,6,42.14,1831.24,664.91,76.95,14,0
